emp_no,salary,from_date,to_date
10001,60117,1986-06-26,1987-06-26
10002,65828,1996-08-03,1997-08-03
10003,40006,1995-12-03,1996-12-02
10004,40054,1986-12-01,1987-12-01
10005,78228,1989-09-12,1990-09-12
10006,40000,1990-08-05,1991-08-05
10007,56724,1989-02-10,1990-02-10
10008,46671,1998-03-11,1999-03-11
10009,60929,1985-02-18,1986-02-18
10010,72488,1996-11-24,1997-11-24
10011,42365,1990-01-22,1991-01-22
10012,40000,1992-12-18,1993-12-18
10013,40000,1985-10-20,1986-10-20
10014,46168,1993-12-29,1994-12-29
10015,40000,1992-09-19,1993-08-22
10016,70889,1998-02-11,1999-02-11
10017,71380,1993-08-03,1994-08-03
10018,55881,1987-04-03,1988-04-02
10019,44276,1999-04-30,2000-04-29
10020,40000,1997-12-30,1998-12-30
10021,55025,1988-02-10,1989-02-09
10022,40000,1999-09-03,2000-09-02
10023,47883,1999-09-27,2000-09-26
10024,83733,1998-06-14,1999-06-14
10025,40000,1987-08-17,1988-08-16
10026,47585,1995-03-20,1996-03-19
10027,40000,1995-04-02,1996-04-01
10028,48859,1991-10-22,1992-10-21
10029,63163,1991-09-18,1992-09-17
10030,66956,1994-02-17,1995-02-17
10031,40000,1991-09-01,1992-08-31
10032,48426,1990-06-20,1991-06-20
10033,51258,1987-03-18,1988-03-17
10034,47561,1995-04-12,1996-04-11
10035,41538,1988-09-05,1989-09-05
10036,42819,1992-04-28,1993-04-28
10037,40000,1990-12-05,1991-12-05
10038,40000,1989-09-20,1990-09-20
10039,40000,1988-01-19,1989-01-18
10040,52153,1993-02-14,1994-02-14
10041,56893,1989-11-12,1990-11-12
10042,81662,1993-03-21,1994-03-21
10043,49324,1990-10-20,1991-10-20
10044,40919,1994-05-21,1995-05-21
10045,41971,1996-11-16,1997-11-16
10046,40000,1992-06-20,1993-06-20
10047,54982,1989-03-31,1990-03-31
10048,40000,1985-02-24,1986-02-24
10049,40000,1992-05-04,1993-05-04
10050,74366,1990-12-25,1991-12-25
10051,48817,1992-10-15,1993-10-15
10052,57212,1997-01-31,1998-01-31
10053,67854,1994-11-13,1995-11-13
10054,40000,1995-07-29,1996-07-28
10055,80024,1992-04-27,1993-04-27
10056,48857,1990-02-01,1991-02-01
10057,49616,1992-01-15,1993-01-14
10058,52787,1988-04-25,1989-04-25
10059,71218,1991-06-26,1992-06-25
10060,74686,1989-05-28,1990-05-28
10061,68577,1989-12-02,1990-12-02
10062,55685,1991-08-30,1992-08-29
10063,40000,1989-04-08,1990-04-08
10064,40000,1985-11-20,1986-11-20
10065,40000,1998-05-24,1999-05-24
10066,69736,1986-02-26,1987-02-26
10067,44642,1987-03-04,1988-03-03
10068,87964,1987-08-07,1988-08-06
10069,67932,1992-06-14,1993-06-14
10070,55999,1985-10-14,1986-10-14
10071,40000,1995-08-05,1996-08-04
10072,40000,1989-05-21,1990-05-21
10073,56473,1998-02-02,1998-02-22
10074,61714,1990-08-13,1991-08-13
10075,43815,1988-05-17,1989-05-17
10076,47319,1996-07-15,1997-07-15
10077,40000,1994-12-23,1995-12-23
10078,47280,1994-09-29,1995-09-29
10079,53492,1995-12-13,1996-12-12
10080,54916,1994-09-28,1995-09-28
10081,55786,1986-10-30,1987-10-30
10082,48935,1990-01-03,1990-01-15
10083,40000,1987-03-31,1988-03-30
10084,69811,1995-12-15,1996-12-14
